Participant	Stimulus	StimType	StimNum	PostV	PostA	PreV	PreA	t	dt	p
P34	Neg1	Neg	1	2	1	2	4	904.5	105.996	1
P35	Neu1	Neu	1	13	3	5	6	189.6429	189.6429	2
P35	Neg5	Neg	5	3	7	13	3	490.5709	300.928	7
P35	Neg1	Neg	1	5	7	3	7	742.2789	251.708	6
P35	Pos3	Pos	3	14	7	5	7	1066.556	324.2767	7
P35	Neg4	Neg	4	2	6	14	7	1304.256	237.7	5
P35	Pos4	Pos	4	14	6	2	6	1551.904	247.648	7
P35	Pos2	Pos	2	14	7	14	6	1857.744	305.84	7
P36	Pos4	Pos	4	11	5	8	5	208.492	208.492	1
P36	Pos2	Pos	2	13	5	11	5	426.244	217.752	2
P36	Neg4	Neg	4	2	6	13	5	659.352	233.108	7
P36	Neu1	Neu	1	8	3	2	6	825.422	166.07	2
P36	Neg5	Neg	5	2	6	8	3	1099.958	274.536	5
P36	Neg1	Neg	1	3	5	2	6	1328.01	228.052	1
P36	Pos3	Pos	3	12	6	3	5	1649.686	321.676	1
P37	Neg4	Neg	4	4	6	7	5	171.788	171.788	1
P37	Pos3	Pos	3	12	3	4	6	542.5	370.712	1
P37	Neg5	Neg	5	2	5	12	3	818.764	276.264	1
P37	Pos4	Pos	4	8	5	2	5	1032.6	213.836	1
P37	Pos2	Pos	2	10	3	8	5	1291.172	258.572	1
P37	Neu1	Neu	1	8	6	10	3	1434.868	143.696	1
P37	Neg1	Neg	1	6	6	8	6	1747.116	312.248	2
P38	Neg4	Neg	4	7	4	13	6	247.744	247.744	3
P38	Pos3	Pos	3	13	6	7	4	560.252	312.508	1
P38	Neg5	Neg	5	8	4	13	6	741.376	181.124	7
P38	Pos4	Pos	4	11	6	8	4	954.972	213.596	1
P38	Pos2	Pos	2	13	6	11	6	1199.404	244.432	1
P38	Neu1	Neu	1	7	4	13	6	1314.248	114.844	1
P38	Neg1	Neg	1	5	4	7	4	1478.436	164.188	6
P39	Neg1	Neg	1	2	1	8	7	315.116	315.116	7
P39	Pos4	Pos	4	8	7	2	1	576.84	261.724	7
P39	Pos2	Pos	2	14	1	8	7	734.532	157.692	1
P39	Neu1	Neu	1	14	1	14	1	784.02	49.488	1
P39	Neg5	Neg	5	2	1	14	1	937.22	153.2	1
P39	Neg4	Neg	4	2	1	2	1	1081.028	143.808	1
P39	Pos3	Pos	3	14	1	2	1	1192.752	111.724	1
P40	Neg4	Neg	4	2	4	6	4	466.188	466.188	4
P40	Pos4	Pos	4	11	3	2	4	767.404	301.216	1
P40	Pos3	Pos	3	13	4	11	3	1160.656	393.252	1
P40	Neg5	Neg	5	2	4	13	4	1459.424	298.768	1
P40	Pos2	Pos	2	8	4	2	4	1698.964	239.54	1
P40	Neu1	Neu	1	14	1	8	4	1963.74	264.776	4
P40	Neg1	Neg	1	12	4	14	1	2237.06	273.32	4
P41	Neg1	Neg	1	6	5	14	5	355.436	355.436	6
P41	Pos2	Pos	2	14	7	6	5	602.9159	247.4799	2
P41	Neg5	Neg	5	8	4	14	7	860.2637	257.3479	2
P41	Neg4	Neg	4	3	4	8	4	1152.636	292.372	2
P41	Neu1	Neu	1	14	1	3	4	1368.230	215.5945	4
P41	Pos4	Pos	4	13	3	14	1	1637.982	269.752	1
P41	Pos3	Pos	3	14	5	13	3	2014.102	376.12	2
P42	Neg4	Neg	4	4	6	10	2	280.548	280.548	6
P42	Pos4	Pos	4	14	1	4	6	485.828	205.28	5
P42	Pos2	Pos	2	8	7	14	1	745.264	259.436	6
