Participant	Stimulus	StimType	StimNum	PostV	PostA	PreV	PreA	t	dt	p
NNTC54	Ne9	Neg	9	8	1	8	2	279	98	1
NNTC54	Ne6	Neg	6	8	1	8	1	308	29	1
NNTC54	Ne4	Neg	4	8	2	8	1	357	49	3
NNTC54	Ne7	Neg	7	7	2	8	2	425	68	4
NNTC54	Ne8	Neg	8	8	3	7	2	455	30	3
NNTC54	Po2	Pos	2	7	4	8	3	528	73	7
NNTC54	Po3	Pos	3	7	2	7	4	554	26	2
NNTC54	Po1	Pos	1	8	3	7	2	632	78	3
NNTC54	Po9	Pos	9	8	3	8	3	659	27	3
NNTC54	Nt1	Neu	1	9	4	8	3	724	65	4
delg70	Po2	Pos	2	14	7	12	6	291	205	1
delg70	Po3	Pos	3	13	5	14	7	591	300	4
delg70	Po9	Pos	9	12	4	13	5	658	67	1
delg70	Po1	Pos	1	8	4	12	4	750	92	4
delg70	Ne6	Neg	6	8	4	8	4	786	36	5
delg70	Ne4	Neg	4	2	4	8	4	853	67	1
delg70	Ne9	Neg	9	6	4	2	4	909	56	4
delg70	Nt1	Neu	1	8	4	6	4	983	74	2
delg70	Ne8	Neg	8	4	4	8	4	1057	74	5
delg70	Ne7	Neg	7	2	4	4	4	1137	80	2
TENH75	Po3	Pos	3	14	5	13	4	585	325	3
TENH75	Ne8	Neg	8	6	4	14	5	794	209	1
TENH75	Po2	Pos	2	13	5	6	4	1042	248	2
TENH75	Po9	Pos	9	10	3	13	5	1164	122	1
TENH75	Ne6	Neg	6	4	2	10	3	1404	240	1
TENH75	Ne9	Neg	9	2	4	4	2	1605	201	1
TENH75	Ne4	Neg	4	2	5	2	4	1690	85	1
TENH75	Ne7	Neg	7	2	4	2	5	1857	167	1
TENH75	Nt1	Neu	1	8	4	2	4	1920	63	2
TENH75	Po1	Pos	1	12	5	8	4	2083	163	6
ukic28	Ne6	Neg	6	7	4	9	4	566	307	1
ukic28	Po1	Pos	1	12	5	7	4	758	192	2
ukic28	Ne9	Neg	9	9	4	12	5	1007	249	1
ukic28	Po9	Pos	9	8	3	9	4	1122	115	1
ukic28	Ne7	Neg	7	7	2	8	3	1216	94	1
ukic28	Po3	Pos	3	11	4	7	2	1520	304	1
ukic28	Nt1	Neu	1	8	2	11	4	1751	231	1
ukic28	Ne8	Neg	8	8	3	8	2	1892	141	2
ukic28	Po2	Pos	2	10	4	8	3	2048	156	1
ukic28	Ne4	Neg	4	6	4	10	4	2372	324	4
ICAC88	Ne6	Neg	6	11	5	10	2	550	291	5
ICAC88	Po1	Pos	1	6	4	11	5	691	141	1
ICAC88	Po3	Pos	3	10	6	6	4	1049	358	6
ICAC88	Ne9	Neg	9	6	6	10	6	1283	234	3
ICAC88	Nt1	Neu	1	11	2	6	6	1375	92	3
ICAC88	Po2	Pos	2	12	3	11	2	1617	242	6
ICAC88	Ne8	Neg	8	6	4	12	3	1813	196	4
ICAC88	Ne4	Neg	4	4	4	6	4	1900	87	4
ICAC88	Po9	Pos	9	12	4	4	4	2040	140	6
ICAC88	Ne7	Neg	7	6	4	12	4	2116	76	4
EEES49	Ne7	Neg	7	5	5	8	4	296	206	1
EEES49	Ne9	Neg	9	5	5	5	5	529	233	1
EEES49	Po9	Pos	9	12	3	5	5	719	190	1
EEES49	Ne8	Neg	8	5	4	12	3	948	229	1
EEES49	Ne6	Neg	6	4	4	5	4	1220	272	1
EEES49	Po3	Pos	3	13	3	4	4	1492	272	1
EEES49	Po2	Pos	2	13	2	13	3	1949	457	1
EEES49	Nt1	Neu	1	8	4	13	2	2375	426	1
EEES49	Po1	Pos	1	11	4	8	4	2512	137	2
EEES49	Ne4	Neg	4	4	5	11	4	2612	100	1
orrd04	Nt1	Neu	1	10	2	5	3	939	424	2
orrd04	Ne7	Neg	7	9	3	10	2	1279	340	2
orrd04	Po9	Pos	9	11	4	9	3	1549	270	2
orrd04	Ne9	Neg	9	7	4	11	4	1894	345	1
