Participant	Stimulus	PostV	PostA	Part	Cont	Inte	Relv
74	Nt2	0	1	1	1	1	1
74	Po4	6	4	2	4	4	3
74	Po5	6	2	3	3	3	3
74	Po6	0	4	1	1	1	1
74	Po7	4	2	3	3	3	3
74	Po8	4	2	2	1	2	4
74	Ne1	-6	6	1	1	2	1
74	Ne2	-1	2	1	1	1	1
74	Ne3	-4	4	1	1	2	1
74	Ne5	-4	4	2	2	4	2
75	Nt2	0	4	1	1	3	1
75	Po4	3	1	1	4	3	2
75	Po5	4	5	1	1	2	2
75	Po6	1	4	5	3	5	4
75	Po7	5	6	2	4	5	3
75	Po8	4	1	1	1	3	1
75	Ne1	-2	5	1	1	2	2
75	Ne2	-1	4	1	1	2	4
75	Ne3	0	4	1	1	3	2
75	Ne5	-6	5	5	5	6	5
76	Nt2	0	4	2	1	2	1
76	Po4	6	7	2	7	7	7
76	Po5	6	6	2	7	7	7
76	Po6	-2	5	3	6	6	6
76	Po7	5	7	2	7	7	7
76	Po8	2	7	2	7	7	7
76	Ne1	-5	4	2	5	5	4
76	Ne2	-2	4	2	2	3	2
76	Ne3	-4	4	2	3	5	3
76	Ne5	-6	4	2	7	7	2
77	Nt2	0	2	1	1	1	1
77	Po4	0	2	1	1	1	1
77	Po5	0	2	1	1	1	1
77	Po6	0	3	1	1	1	1
77	Po7	-2	2	1	1	1	1
77	Po8	0	2	1	1	1	1
77	Ne1	-4	4	5	5	5	5
77	Ne2	0	3	1	2	2	2
77	Ne3	-2	4	2	2	4	3
77	Ne5	-4	4	4	5	5	2
78	Nt2	0	1	1	1	1	1
78	Po4	4	5	4	6	5	5
78	Po5	4	5	2	2	5	5
78	Po6	3	2	5	6	4	1
78	Po7	-1	2	1	1	3	2
78	Po8	5	6	7	7	6	6
78	Ne1	-6	7	7	5	5	6
78	Ne2	-4	1	1	1	2	2
78	Ne3	-3	1	2	2	3	1
78	Ne5	-5	6	7	7	6	3
79	Nt2	-1	5	1	1	1	1
79	Po4	5	5	1	5	6	1
79	Po5	0	4	1	1	2	1
79	Po6	2	4	1	3	5	1
79	Po7	2	4	1	1	1	1
79	Po8	2	4	2	2	3	2
79	Ne1	-4	5	6	1	5	3
79	Ne2	-1	4	1	3	3	1
79	Ne3	-2	5	1	3	4	2
79	Ne5	-6	5	4	3	5	5
80	Nt2	-4	4	1	1	1	2
80	Po4	-6	4	1	1	1	1
80	Po5	-6	4	1	1	1	1
80	Po6	-4	4	1	1	2	1
80	Po7	-4	4	1	1	1	1
80	Po8	-6	4	1	1	1	1
80	Ne1	-2	4	1	2	2	2
80	Ne2	-6	4	1	1	1	1
80	Ne3	-5	4	1	1	2	2
80	Ne5	-6	4	1	1	2	2
81	Nt2	0	4	1	1	2	1
81	Po4	6	2	4	7	6	4
81	Po5	5	2	5	5	5	3
81	Po6	4	4	5	4	5	3
81	Po7	5	5	5	5	6	6
81	Po8	6	2	6	5	5	5
81	Ne1	0	7	6	7	7	5
81	Ne2	-1	6	5	6	6	6
81	Ne3	0	6	5	6	6	2
81	Ne5	-5	5	5	6	6	3
82	Nt2	0	2	1	2	4	3
82	Po4	3	2	2	6	5	4
82	Po5	2	3	1	1	3	1
82	Po6	2	1	1	2	3	3
82	Po7	4	3	2	3	3	4
82	Po8	3	1	3	4	4	3
82	Ne1	-4	4	3	1	4	3
82	Ne2	-1	1	2	2	2	3
82	Ne3	-2	2	1	1	2	2
82	Ne5	-4	3	1	4	3	2
83	Nt2	0	4	6	6	6	5
83	Po4	6	5	6	6	6	4
83	Po5	0	2	2	2	2	2
83	Po6	0	4	5	5	5	5
83	Po7	4	1	2	3	5	5
83	Po8	0	2	2	2	2	2
83	Ne1	-2	4	2	2	3	4
83	Ne2	-1	2	1	1	2	1
83	Ne3	-4	4	2	2	4	2
83	Ne5	0	2	1	1	2	1
84	Nt2	4	2	2	4	2	2
84	Po4	4	4	4	5	5	5
84	Po5	3	3	1	2	3	3
84	Po6	3	4	4	5	5	2
84	Po7	3	4	2	3	4	2
84	Po8	3	4	1	5	5	4
84	Ne1	-2	4	2	2	5	2
84	Ne2	2	3	1	5	5	1
84	Ne3	-2	4	2	2	3	2
84	Ne5	-3	4	4	5	4	1
85	Nt2	0	2	1	1	2	1
85	Po4	6	5	2	3	5	3
85	Po5	4	5	1	3	5	5
85	Po6	4	4	3	4	5	6
85	Po7	4	5	2	5	5	6
85	Po8	2	2	1	1	3	3
85	Ne1	3	6	4	5	6	5
85	Ne2	-4	2	1	1	1	1
85	Ne3	-4	4	1	2	3	3
85	Ne5	-5	6	5	6	6	5
86	Nt2	2	7	2	6	6	1
86	Po4	6	1	4	7	4	2
86	Po5	3	4	1	3	5	6
86	Po6	6	5	7	7	7	7
86	Po7	6	1	6	7	6	6
86	Po8	6	5	5	7	7	5
86	Ne1	-4	6	4	4	5	6
86	Ne2	-4	4	1	1	1	1
86	Ne3	-3	4	1	1	3	1
86	Ne5	-4	4	1	1	6	1
87	Nt2	0	3	1	2	2	2
87	Po4	2	2	1	1	1	1
87	Po5	4	2	1	1	1	1
87	Po6	3	2	1	1	2	1
87	Po7	0	3	1	2	2	2
87	Po8	3	2	1	1	2	1
87	Ne1	-4	5	2	3	5	4
87	Ne2	-4	3	1	1	2	2
87	Ne3	-4	4	1	2	4	3
87	Ne5	-4	3	1	1	4	1
88	Nt2	0	4	1	1	1	1
88	Po4	0	4	1	1	1	1
88	Po5	0	4	1	1	1	1
88	Po6	0	4	1	1	1	1
88	Po7	0	4	1	1	1	1
88	Po8	0	4	1	1	1	1
88	Ne1	0	4	3	3	2	2
88	Ne2	0	4	2	3	3	2
88	Ne3	0	4	1	1	1	1
88	Ne5	-2	4	2	2	2	1
89	Nt2	-2	4	1	1	1	1
89	Po4	3	2	1	1	5	1
89	Po5	3	3	1	1	2	4
89	Po6	-1	4	1	1	5	2
89	Po7	3	4	1	5	6	5
89	Po8	1	3	1	1	2	1
89	Ne1	-2	4	1	1	1	1
89	Ne2	-2	4	1	1	2	1
89	Ne3	-3	4	1	1	2	2
89	Ne5	-4	4	1	1	2	1
90	Nt2	3	1	1	1	2	2
90	Po4	5	1	1	3	4	2
90	Po5	4	1	2	2	2	2
90	Po6	4	1	2	2	4	3
90	Po7	6	1	2	2	4	2
90	Po8	4	4	3	2	3	4
90	Ne1	-6	4	1	1	2	4
90	Ne2	0	1	1	1	3	1
90	Ne3	0	4	1	1	1	1
90	Ne5	-6	6	6	5	6	7
91	Nt2	3	6	2	5	6	2
91	Po4	5	2	2	5	5	3
91	Po5	0	4	1	1	2	2
91	Po6	3	4	4	4	5	4
91	Po7	1	4	1	1	3	2
91	Po8	-2	3	1	1	1	2
91	Ne1	-4	5	1	1	4	2
91	Ne2	-1	3	5	4	5	4
91	Ne3	-4	5	2	1	2	1
91	Ne5	-4	2	2	4	5	2
