Participant	Stimulus	PostV	PostA	Part	Cont	Inte	Relv
17	Ne6	-1	4	5	7	7	5
17	Ne7	-2	5	2	5	6	2
17	Ne8	-2	4	5	6	5	5
17	Ne9	-2	4	4	5	5	4
18	Nt1	-4	6	3	4	4	5
18	Po1	2	6	5	5	5	4
18	Po2	4	5	3	4	4	5
18	Po3	6	5	4	5	6	5
18	Po9	2	4	1	2	4	3
18	Ne4	-3	5	1	1	2	1
18	Ne6	-6	5	3	3	3	2
18	Ne7	-4	3	2	4	4	2
18	Ne8	-3	5	1	2	3	2
18	Ne9	-5	3	2	3	3	1
19	Nt1	0	4	1	1	1	1
19	Po1	6	4	7	7	7	6
19	Po2	5	1	5	5	5	5
19	Po3	2	1	5	2	5	6
19	Po9	4	4	3	4	6	5
19	Ne4	-5	5	3	6	5	1
19	Ne6	0	4	1	5	5	1
19	Ne7	0	4	2	2	5	2
19	Ne8	-1	4	6	6	6	6
19	Ne9	0	4	1	5	4	1
20	Nt1	3	1	2	1	3	1
20	Po1	4	6	4	7	7	7
20	Po2	6	5	4	5	6	5
20	Po3	6	6	4	6	6	6
20	Po9	6	4	3	6	7	7
20	Ne4	-5	4	2	3	4	1
20	Ne6	-4	3	2	4	4	1
20	Ne7	-4	4	2	4	5	1
20	Ne8	-2	3	2	4	5	1
20	Ne9	-4	5	2	3	4	1
21	Nt1	0	1	1	1	1	1
21	Po1	0	2	1	2	1	1
21	Po2	4	5	2	5	5	2
21	Po3	6	5	2	5	5	2
21	Po9	0	4	3	3	4	5
21	Ne4	-4	3	3	4	4	2
21	Ne6	-3	3	2	4	3	2
21	Ne7	-2	3	2	2	3	2
21	Ne8	-3	3	2	2	3	2
21	Ne9	-3	3	2	4	4	1
22	Nt1	4	1	1	1	1	1
22	Po1	6	6	7	7	7	7
22	Po2	4	5	4	4	5	5
22	Po3	4	5	2	3	5	4
22	Po9	5	5	4	5	5	6
22	Ne4	-2	5	2	5	5	5
22	Ne6	0	1	1	1	1	1
22	Ne7	0	2	1	1	1	1
22	Ne8	0	2	1	1	1	1
22	Ne9	0	2	1	3	2	2
23	Nt1	0	2	1	2	1	2
