Participant	Stimulus	PostV	PostA	Part	Cont	Inte	Relv
8	Neg5	-2	3	0.5	0.6666667	5	5
9	Neg5	-5	5	0	0.1666667	4	2
10	Neg5	-5	5	0.3333333	0.3333333	5	1
11	Neg5	-6	5	0	0.8333333	6	2
12	Neg5	-5	2	0.8333333	0.6666667	5	2
13	Neg5	-1	6	1	1	7	3
14	Neg5	-5	2	0	0	4	3
15	Neg5	-6	6	0.8333333	0.8333333	7	5
16	Neg5	-2	6	1	0	4	2
17	Neg5	-4	6	0.6666667	1	7	6
18	Neg5	0	3	0.1666667	0.3333333	4	2
19	Neg5	3	3	0	1	4	2
20	Neg5	-2	5	0.6666667	0.6666667	5	3
21	Neg5	-6	1	0	0	1	1
22	Neg5	-6	4	0	0	5	3
23	Neg5	0	1	0	0	1	1
24	Neg5	-1	5	0.5	0.5	5	2
25	Neg5	-6	4	0	0	4	1
26	Neg5	-5	5	0	0.5	5	1
27	Neg5	-5	3	0	0	3	7
28	Neg5	-5	5	1	0.3333333	5	3
29	Neg5	-4	6	0.8333333	0.8333333	5	3
30	Neg5	-6	5	0	0	4	4
31	Neg5	-5	7	1	1	7	7
32	Neg5	-6	6	0.6666667	0.6666667	3	2
33	Neg5	-6	5	0	0.6666667	5	2
34	Neg5	0	4	1	0.3333333	5	4
35	Neg5	-6	1	0	0	1	1
36	Neg5	-6	4	0	0.3333333	1	1
37	Neg5	0	4	0.1666667	0.8333333	5	5
38	Neg5	0	6	1	1	6	2
39	Neg5	-5	7	1	1	7	7
40	Neg5	-2	4	0.1666667	0.3333333	4	4
41	Neg5	-3	5	1	0.6666667	5	2
42	Neg5	-6	7	0	1	6	1
43	Neg5	-2	4	0.8333333	0.8333333	7	7
44	Neg5	-3	5	0	0.6666667	5	3
45	Neg5	0	5	0	0.5	5	5
46	Neg5	-2	4	0.6666667	0.5	4	4
47	Neg5	-2	4	0.1666667	0.1666667	5	1
48	Neg5	-4	5	0.3333333	0.6666667	5	3
49	Neg5	-6	3	0	0	5	1
50	Neg5	-2	4	0	0	5	3
51	Neg5	-6	6	0	0.5	6	2
52	Neg5	-6	4	0	0	2	1
53	Neg5	-6	5	0	0.5	5	3
1	Neu1	0	4	0	0	2	1
2	Neu1	0	3	0.1666667	0.1666667	2	1
3	Neu1	0	3	0	0	1	1
4	Neu1	1	2	0.3333333	0	1	2
5	Neu1	3	2	0	0	1	1
6	Neu1	0	2	0	0	1	1
7	Neu1	4	4	0.6666667	0.6666667	5	5
8	Neu1	0	5	0.3333333	0.1666667	4	5
9	Neu1	-4	4	0	0	2	1
10	Neu1	4	5	0.3333333	0.5	5	5
11	Neu1	-1	5	0	0	1	1
12	Neu1	0	1	0.1666667	0	1	2
13	Neu1	0	4	0	0	1	1
14	Neu1	2	2	0	0.1666667	2	2
15	Neu1	3	2	0	0	1	1
16	Neu1	0	3	0	0	1	4
17	Neu1	0	2	0	0	1	2
18	Neu1	3	4	0	0	1	1
19	Neu1	6	2	0	0	3	1
20	Neu1	4	3	0.6666667	0.3333333	4	5
21	Neu1	0	6	0	1	6	4
22	Neu1	4	3	0	0	6	3
23	Neu1	3	4	0	0.1666667	5	2
24	Neu1	-1	4	0	0	3	2
25	Neu1	-1	3	0	0	2	1
26	Neu1	-3	2	0.3333333	0	1	2
27	Neu1	2	2	0	0.1666667	1	2
28	Neu1	4	3	0.3333333	0.3333333	4	4
29	Neu1	-2	4	0	0	3	3
30	Neu1	-6	4	0	0	1	1
31	Neu1	5	3	0.1666667	0.3333333	5	2
32	Neu1	0	3	0.1666667	0.8333333	6	6
33	Neu1	0	6	0	0	1	1
34	Neu1	-1	4	0	0	2	1
35	Neu1	6	1	0	0	1	1
36	Neu1	6	1	0.5	0.6666667	5	6
37	Neu1	6	1	0.5	1	7	6
38	Neu1	5	4	0.1666667	0.3333333	4	4
39	Neu1	3	3	0.1666667	0.6666667	6	7
40	Neu1	0	4	0.3333333	0.3333333	6	2
41	Neu1	-1	3	0.3333333	0.5	4	5
42	Neu1	1	5	0.3333333	0.5	2	1
43	Neu1	-3	4	0	0	2	1
44	Neu1	5	7	0	0.8333333	7	1
45	Neu1	0	1	0	0	1	2
46	Neu1	3	1	0	0	2	3
47	Neu1	-2	3	0	0	1	1
48	Neu1	2	3	0.3333333	0.6666667	3	5
49	Neu1	4	6	0.3333333	0.3333333	5	5
50	Neu1	0	4	0	0	5	2
51	Neu1	0	4	0	0	1	1
52	Neu1	2	2	0	0	1	1
53	Neu1	-1	4	0	0	1	1
1	Pos2	3	1	0	0.1666667	1	2
2	Pos2	5	6	0.6666667	1	7	6
3	Pos2	6	7	0.8333333	0.8333333	7	6
4	Pos2	3	3	0.3333333	0.3333333	4	4
5	Pos2	3	2	0.1666667	0	2	3
6	Pos2	5	5	0.6666667	0.8333333	6	6
7	Pos2	6	7	1	1	7	7
8	Pos2	2	5	0.8333333	0.8333333	6	6
9	Pos2	2	5	0	0.3333333	5	3
10	Pos2	6	6	0.3333333	0.6666667	6	5
11	Pos2	5	3	0	0	2	3
12	Pos2	5	2	0.5	0.6666667	5	5
13	Pos2	6	5	0.1666667	1	7	7
14	Pos2	-1	3	0.3333333	0.3333333	2	3
15	Pos2	6	1	0.8333333	1	7	6
16	Pos2	6	6	0.1666667	0	6	7
17	Pos2	-3	4	0	0.5	4	2
18	Pos2	5	2	0.3333333	0.3333333	2	5
19	Pos2	2	2	0	0	1	1
20	Pos2	6	6	0.8333333	1	7	5
21	Pos2	6	6	0	1	7	7
22	Pos2	1	4	0	0	3	5
23	Pos2	0	7	0.1666667	0.6666667	5	5
24	Pos2	3	4	0	0.1666667	2	2
25	Pos2	5	1	0.5	0.6666667	6	5
26	Pos2	3	1	0	0.1666667	1	2
27	Pos2	5	3	0.1666667	0.1666667	5	5
28	Pos2	6	2	0.8333333	0.6666667	5	5
29	Pos2	2	5	0.3333333	0.6666667	6	3
30	Pos2	6	7	0.6666667	0.6666667	7	7
31	Pos2	6	7	1	0.8333333	6	6
32	Pos2	5	5	0.1666667	0.6666667	5	5
33	Pos2	2	3	0	0	4	5
34	Pos2	5	6	0	0.6666667	6	6
35	Pos2	6	1	0	0	1	1
36	Pos2	0	4	0	0	2	1
37	Pos2	6	7	0.1666667	1	7	7
38	Pos2	0	7	0.8333333	0.8333333	7	6
39	Pos2	6	7	0.3333333	1	7	7
40	Pos2	2	4	0.3333333	0.5	5	3
41	Pos2	6	6	0.6666667	0.8333333	6	7
42	Pos2	6	6	0.6666667	0.8333333	7	6
43	Pos2	6	7	0.8333333	1	6	4
44	Pos2	-3	5	0	0	1	1
45	Pos2	0	4	0	0.3333333	4	4
46	Pos2	6	5	0.1666667	0.6666667	5	5
47	Pos2	6	6	0.8333333	0.8333333	6	6
48	Pos2	2	3	0.1666667	0.1666667	4	4
49	Pos2	6	3	0	0	1	5
50	Pos2	2	3	0	0.3333333	3	3
51	Pos2	4	5	0	0	5	5
52	Pos2	3	4	0	0.5	5	4
53	Pos2	0	3	0	0.5	5	4
1	Pos3	4	2	0.1666667	0.6666667	3	5
2	Pos3	6	5	0.5	0.8333333	6	6
3	Pos3	6	7	0.6666667	0.6666667	7	5
4	Pos3	5	6	0.5	0.8333333	5	5
5	Pos3	1	4	0	0	2	4
6	Pos3	5	3	0.6666667	0.6666667	5	6
7	Pos3	6	6	1	1	7	7
8	Pos3	1	6	0.6666667	1	7	6
9	Pos3	0	3	0	0.5	3	2
10	Pos3	5	6	0	0.1666667	6	5
11	Pos3	6	2	0	0	2	2
12	Pos3	2	3	0.3333333	0.3333333	4	5
13	Pos3	6	1	0.1666667	1	6	7
14	Pos3	0	4	0.3333333	0.5	5	4
15	Pos3	6	5	0.8333333	1	7	7
16	Pos3	6	2	0	0	4	5
17	Pos3	-3	4	0	0.1666667	4	2
18	Pos3	6	5	0.1666667	0.8333333	6	6
19	Pos3	2	1	0	0	1	1
20	Pos3	5	5	0.6666667	0.6666667	5	5
21	Pos3	6	6	0	1	6	7
22	Pos3	-1	4	0	0	2	1
23	Pos3	-2	2	0.3333333	0.3333333	3	3
24	Pos3	3	5	0	0.5	4	5
25	Pos3	5	6	0.5	0.6666667	5	5
26	Pos3	5	1	0.1666667	0	4	5
27	Pos3	5	2	1	1	7	7
28	Pos3	6	2	0.6666667	0.8333333	7	7
29	Pos3	3	5	0.5	0.5	6	4
30	Pos3	6	6	0.8333333	0.8333333	6	6
31	Pos3	6	7	1	1	7	6
32	Pos3	4	6	0	0.3333333	5	5
33	Pos3	4	3	0	0.1666667	6	6
34	Pos3	5	6	0	1	7	6
35	Pos3	6	1	0	0	1	1
36	Pos3	5	4	0	0.5	4	5
37	Pos3	6	5	0.1666667	0.6666667	5	5
38	Pos3	6	7	0.6666667	1	7	6
39	Pos3	0	5	0	1	7	7
40	Pos3	2	4	0.3333333	0.1666667	3	3
41	Pos3	4	6	0.8333333	0.8333333	5	5
42	Pos3	5	4	0	0.5	3	6
43	Pos3	6	7	1	1	7	6
44	Pos3	-3	4	0	0	1	1
45	Pos3	2	5	0	0.3333333	4	3
46	Pos3	3	5	0.1666667	0.6666667	5	5
47	Pos3	5	1	0.5	0.8333333	6	6
48	Pos3	2	3	0.3333333	0.3333333	4	4
49	Pos3	6	3	0	0	3	3
50	Pos3	4	4	0	0	5	5
51	Pos3	5	5	0	0.1666667	5	5
52	Pos3	4	5	0.5	0.5	4	4
53	Pos3	0	4	0	0	5	1
1	Pos4	5	1	0.1666667	0.6666667	4	3
2	Pos4	6	1	0.5	0.8333333	7	2
3	Pos4	4	5	0.3333333	0.5	5	3
4	Pos4	-2	4	0	0	3	2
5	Pos4	5	2	0	0.5	4	3
6	Pos4	6	4	0.6666667	0.8333333	6	6
7	Pos4	4	6	0.6666667	0.3333333	6	5
8	Pos4	2	5	0.5	0.6666667	6	7
9	Pos4	3	5	0.8333333	0.8333333	6	3
10	Pos4	6	4	0.3333333	0.3333333	5	3
11	Pos4	4	6	0	0	5	5
12	Pos4	4	6	0.8333333	0.8333333	6	6
13	Pos4	5	5	1	1	7	3
14	Pos4	3	5	0.1666667	0.5	4	5
15	Pos4	6	6	1	1	7	6
16	Pos4	6	2	0	1	7	6
17	Pos4	0	5	0.5	0.8333333	6	3
18	Pos4	6	2	0.8333333	0.8333333	6	3
19	Pos4	5	1	0	0	2	1
20	Pos4	-1	4	0.1666667	0.1666667	5	2
21	Pos4	2	2	0	0	5	1
22	Pos4	1	4	0	0	3	5
23	Pos4	-4	4	0	0	1	1
24	Pos4	0	3	0	0.1666667	3	1
25	Pos4	5	1	0.5	0.5	5	3
26	Pos4	3	1	0	0	1	3
27	Pos4	6	2	0.6666667	0.1666667	6	7
28	Pos4	5	2	0	0.5	5	2
29	Pos4	2	5	0.1666667	0.1666667	6	3
30	Pos4	4	2	0	0	5	7
31	Pos4	6	6	1	1	6	6
32	Pos4	3	5	0	0.5	3	4
33	Pos4	0	5	0	0	5	6
34	Pos4	3	6	0	0.8333333	6	6
35	Pos4	0	7	1	1	7	7
36	Pos4	3	3	0	0.3333333	4	6
37	Pos4	5	3	0	0.8333333	5	5
38	Pos4	6	1	0.6666667	0.8333333	6	5
39	Pos4	4	6	0	0.1666667	6	4
40	Pos4	2	5	0.1666667	0.3333333	5	4
41	Pos4	6	7	0.8333333	1	7	7
42	Pos4	5	4	0	0.6666667	5	1
43	Pos4	6	7	1	1	7	6
44	Pos4	-1	3	0	0	1	1
45	Pos4	2	4	0	0.5	4	3
46	Pos4	6	5	0.5	1	5	5
47	Pos4	4	3	0.5	0.5	5	4
48	Pos4	-2	3	0.3333333	0.3333333	4	4
49	Pos4	6	3	0	0	3	5
50	Pos4	2	5	0	0.5	5	3
51	Pos4	5	5	0	0.5	5	4
52	Pos4	5	4	0	0	3	3
53	Pos4	2	3	0	0.3333333	4	3
